140	CENTRES DE VACANCES DEVELOPPES	COL VAC	A	15.45	13.26	0.00	01/01/2026
140	CENTRES DE VACANCES DEVELOPPES	COL VAC	A	15.45	13.17	0.00	01/01/2024
141	CENTRES DE VACANCES DEVELOPPES AL	CENTRES VACANCES	A	15.45	14.56	0.00	01/01/2026
141	CENTRES DE VACANCES DEVELOPPES AL	CENTRES VACANCES	A	15.45	14.47	0.00	01/01/2024
142	CENTRES VACANCES DEVEL.DISPENSE PO	DISP PO	A	8.55	12.86	0.00	01/01/2026
142	CENTRES VACANCES DEVEL.DISPENSE PO	DISP PO	A	8.55	12.77	0.00	01/01/2024
143	CENTRES VACANCES DEVEL.DISP.PO AL	DISP PO	A	8.55	12.86	0.00	01/01/2026
143	CENTRES VACANCES DEVEL.DISP.PO AL	DISP PO	A	8.55	12.77	0.00	01/01/2024
144	CENTRE VACANCES DEVEL.DISP.PO VIEIL.	DISP PO VIEIL	A	8.55	12.86	0.00	01/01/2026
144	CENTRE VACANCES DEVEL.DISP.PO VIEIL.	DISP PO VIEIL	A	8.55	12.77	0.00	01/01/2024
145	CENTRES VACANCES DEVEL DISP PO VIEI. AL	DISP PO VIEIL	A	8.55	14.16	0.00	01/01/2026
145	CENTRES VACANCES DEVEL DISP PO VIEI. AL	DISP PO VIEIL	A	8.55	14.07	0.00	01/01/2024
146	CADETS DE GOLF	CADETS GOLF	A	15.45	13.26	0.00	01/01/2026
146	CADETS DE GOLF	CADETS GOLF	A	15.45	13.17	0.00	01/01/2024
150	STAGIAIRES FORMATION PROFESSIONNELLE	STAGIAIRE FORM. PROF	D	15.45	21.06	2.08	01/01/2026
150	STAGIAIRES FORMATION PROFESSIONNELLE	STAGIAIRE FORM. PROF	D	15.45	20.97	2.12	01/01/2024
151	STAGIAIRE FORMATION PROF MAYOTTE	STAG F P MAY	D	20.84	6.55	2.08	01/01/2026
151	STAGIAIRE FORMATION PROF MAYOTTE	STAG F P MAY	D	20.73	5.85	2.12	01/01/2025
156	TACHES D'INTERET GENERAL (REMUNERES)	TIG REMUN	D	15.45	13.26	3.80	01/01/2026
156	TACHES D'INTERET GENERAL (REMUNERES)	TIG REMUN	D	15.45	13.17	3.80	01/01/2024
157	TACHES D'INTERET GENERAL MAYOTTE	T.I.G. MAYOTTE	D	0.00		3.70	01/01/2019
158	TACHE INTERET GENERAL(NON REMUNERES)	INT GEN	D			3.80	01/01/2000
159	TRAVAIL D'INTERET GENERAL	INT GEN	D			3.70	01/01/2010
160	RG SAUF MALADIE DONT ANCIENS MINEURS	ANCMINEUR	A	15.45	6.76	0.00	01/01/2026
160	RG SAUF MALADIE DONT ANCIENS MINEURS	ANCMINEUR	A	15.45	6.67	0.00	01/01/2024
162	RG SAUF INV.VIEIL.ANCIENS MINEURS	EXO INV	A		10.75	0.00	01/01/2019
164	COTISATIONS NOTARIAT	COTIS. NOTARIAT	A		40.69	0.00	01/01/2026
164	COTISATIONS NOTARIAT	COTIS. NOTARIAT	A		40.60	0.00	01/01/2024
166	RG SAUF MALADIE VIEILLESSE SANS AT	A.F. FNAL	E		3.45		01/01/2015
168	RG SAUF MALADIE ET AF	VIEIL ET FNAL	A	15.45	2.51	0.00	01/01/2026
168	RG SAUF MALADIE ET AF	VIEIL ET FNAL	A	15.45	2.42	0.00	01/01/2024
169	EXO MISE A LA RETRAITE CVE	EXO CVE	F	100.00			01/11/2025
170	REGIME GENERAL RISQUE VIEILLESSE	VIEILLESSE SEULE	E	15.45	2.51		01/01/2026
170	REGIME GENERAL RISQUE VIEILLESSE	VIEILLESSE SEULE	E	15.45	2.42		01/01/2024
171	COTISATION AT CAS PARTICULIERS	COT AT CAS PART	E		100.00		01/01/2006
172	RG SAUF INV.VIEIL.DONT FONCT DETACHE	RG SS I V	A		9.95	0.00	01/01/2019
173	RG SAUF INV VIEIL FONCT DETACHE MAYO	RG SS I V MAYOTTE	A	5.40	11.02	0.00	01/01/2026
173	RG SAUF INV VIEIL FONCT DETACHE MAYO	RG SS I V MAYOTTE	A	5.40	9.97	0.00	01/01/2025
174	RG SAUF INVAL VIEILLESSE SANS AT	RG SAUF INV V	E		9.95		01/01/2019
175	EMPLOI PENITENTIAIRE VIEILLESSE MAYO	PENITENT VIEIL MAYO	E	15.44			01/01/2026
175	EMPLOI PENITENTIAIRE VIEILLESSE MAYO	PENITENT VIEIL MAYO	E	15.33			01/01/2025
176	RG SAUF INVALIDITE VIEILLESSE ET AF	RG SAUF IV AF	A		6.50	0.00	01/01/2019
178	RG SAUF INVAL VIEILLESSE AF SANS AT	RG SAUF IV AF	E		6.50		01/01/2019
180	RG SAUF VIEILLESSE	RG SAUF VIEILLESSE	A		10.75	0.00	01/01/2019
182	RG SAUF VIEILLESSE SANS AT	MAL AF FNAL	E		10.75		01/01/2019
183	RG SAUF VIEILLESSE SANS AT MAYOTTE	MAL AF FNAL MAY	E	5.40	11.02		01/01/2026
183	RG SAUF VIEILLESSE SANS AT MAYOTTE	MAL AF FNAL MAY	E	5.40	9.97		01/01/2025
184	RG SAUF VIEIL.AF DONT ORGAN.INTERNAT	MAL FNAL AT	A		7.30	0.00	01/01/2019
186	RG SAUF VIEIL.AF SANS AT OUVR.ETAT	MAL ET FNAL	E		7.30		01/01/2019
188	RG SAUF AF DONT ETS PUBLICS	SAUF AF	A	15.45	9.81	0.00	01/01/2026
188	RG SAUF AF DONT ETS PUBLICS	SAUF AF	A	15.45	9.72	0.00	01/01/2024
190	RG SAUF AF SANS AT DONT ETABL PUBLIC	SAUF AFAT	E	15.45	9.81		01/01/2026
190	RG SAUF AF SANS AT DONT ETABL PUBLIC	SAUF AFAT	E	15.45	9.72		01/01/2024
193	VOLONTARIAT ASSOCIATIF MAL.VIEIL	VOL ASS FORF	E		100.00		01/10/2006
194	RG SAUF AF AVEC DISPENSE PO	RG SS PO	A	8.55	9.41	0.00	01/01/2026
194	RG SAUF AF AVEC DISPENSE PO	RG SS PO	A	8.55	9.32	0.00	01/01/2024
196	RG SAUF AF AVEC DISPENSE PO SANS AT	DISP PO AF AT	E	8.55	9.41		01/01/2026
196	RG SAUF AF AVEC DISPENSE PO SANS AT	DISP PO AF AT	E	8.55	9.32		01/01/2024
197	VOLONTARIAT ASSOCIATIF AT	VOL ASSOC AT	D			2.08	01/01/2026
197	VOLONTARIAT ASSOCIATIF AT	VOL ASSOC AT	D			2.12	01/01/2024
198	PROFESSIONS JUDICIAIRES	PROF JUDI	A		10.75	0.00	01/01/2019
200	MARINS DU COMMERCE CMAF	FNAL	E		3.45		01/01/2015
201	CNIEG DEDUCTION PETIT POOL	CNIEG DED. POOL	F	100.00			01/01/2022
202	RG AVEC DISPENSE PO VIEIL.SANS AF	DISP PO V	A	8.55	9.41	0.00	01/01/2026
202	RG AVEC DISPENSE PO VIEIL.SANS AF	DISP PO V	A	8.55	9.32	0.00	01/01/2024
204	RG SAUF AF DISPENSE PO VIEIL.SANS AT	DISP PO VIEIL	E	8.55	9.41		01/01/2026
204	RG SAUF AF DISPENSE PO VIEIL.SANS AT	DISP PO VIEIL	E	8.55	9.32		01/01/2024
206	SALARIES NON RESIDENTS ACTIFS	NO N RESID ACT	E		5.50		01/03/2018
208	TEMPS PARTIEL (COTIS.SUR ABATTEMENT)	TPS PART	E	6.90			01/01/2016
210	CNIEG RS CAS PARTICULIER	CNIEG RS CAS PART	E		40.41		01/05/2025
210	CNIEG RS CAS PARTICULIER	CNIEG RS CAS PART	E		40.84		01/05/2024
215	CNIEG AUTRES RISQUES	CNIEG AUTRE RISQUE	E		2.60		01/05/2025
215	CNIEG AUTRES RISQUES	CNIEG AUTRE RISQUE	E		2.15		01/05/2024
217	RR RETRAI CPLMT COTIS AM N-RESID. RA	RR RET CPLMT COT-AM	E		4.20		01/03/2018
219	VIEILLESSE CRPCEN TEMPS PARTIEL	VIEILLESSE CRPCEN	E		29.94		01/01/2026
219	VIEILLESSE CRPCEN TEMPS PARTIEL	VIEILLESSE CRPCEN	E		29.85		01/01/2024
220	A.F.SEULEMENT	A.F. SEULEMENT	E		100.00		01/01/1998
221	PENA.ABS.CONTRAT GEN.	PENA.CONTRAT GEN.	E		100.00		01/10/2013
222	VIEILLESSE SEULEMENT	VIEIL.SEULE	E	100.00			01/01/1998
225	CSA REGIMES SPECIAUX	CSA R. SPECIAUX	E		0.30		01/01/2017
226	A.T.SEULEMENT	A.T. SEULEMENT	A			0.00	01/01/1998
227	COT.SUPPL.AT DEFAUT PREVENTION	AT PREVENTION	E		100.00		01/01/2000
228	MALADIE SEULEMENT	MALADIE SEULE	E		100.00		01/01/1998
230	FNAL SEULEMENT	FNAL SEUL	E	100.00			01/01/2007
231	PENA.ABS.DOC EVAL.	PENA.DOC EVAL.	E		100.00		01/10/2013
232	INVALIDITE SEULEMENT	INVALIDITE	E		100.00		01/01/1998
233	COT.AT FORMATION PROFESSIONNELLE	COT.AT FPROF.	D			2.08	01/01/2026
233	COT.AT FORMATION PROFESSIONNELLE	COT.AT FPROF.	D			2.12	01/01/2024
234	CSG/CRDS DETENUS	CSG CRDS DET	E		9.70		01/01/2024
236	FNAL TOTALITE	FNAL TOTALITE	E		0.50		01/01/2012
238	FNAL TEMPS PARTIEL (SALAIRE PLAFON.)	FNAL PART	E	0.10			01/01/2007
239	CAPE SANS REMUNERATION COTISATION AT	CAPE COTISATION AT	A			0.00	01/01/2008
241	EMPLOI PENITENTIAIRE MAL AT MAYOTTE	PENITENT MAL AT MAY	D		11.02	0.90	01/01/2026
241	EMPLOI PENITENTIAIRE MAL AT MAYOTTE	PENITENT MAL AT MAY	D		9.97	0.92	01/05/2025
242	PUPILLES EDUCATION SURVEILLEE	PUP EDUC SUR A.T.	D			0.10	01/01/1998
244	CREATEUR ENTREPRISE COTISANT VIEIL.	CRE ENTRE	E	15.45	2.51		01/01/2026
244	CREATEUR ENTREPRISE COTISANT VIEIL.	CRE ENTRE	E	15.45	2.42		01/01/2024
246	ALLOCATION CONVENTION DE CONVERSION	C. CONVER	A	15.45	13.26	0.00	01/01/2026
246	ALLOCATION CONVENTION DE CONVERSION	C. CONVER	A	15.45	13.17	0.00	01/01/2024
248	RR CSG PRESTATION FAMILIALE	RR CSG PREST FAMILL	E		6.20		01/01/2024
251	CONTRIB MALADIE REV ACTIVITE MAYOTTE	CONTRIB MLD ACTI	E		4.47		01/01/2026
251	CONTRIB MALADIE REV ACTIVITE MAYOTTE	CONTRIB MLD ACTI	E		4.12		01/01/2025
252	RR RET BASE ET CPLMT PAMC NRES	RR RET PAMC NRE	E		3.20		01/01/2010
253	RR PRERETRAITE N RES RG-CAS2	RR PRERET NRES CAS2	E		4.65		01/01/2010
255	RR PRERETRAITE N-RES MARINS	RR PRERET NRES MARI	E		5.40		01/01/2010
257	RR PRERETRAITE N-RES CRPCEN	RR PRERET NRES CRPC	E		4.00		01/01/2010
260	CSG CRDS REGIME GENERAL	CSG CRDS	E		9.70		01/01/2024
260	CSG CRDS REGIME GENERAL	CSG CRDS	E		9.70		01/01/2018
262	CSG CRDS FONCTIONNAIRES TITULAIRES	CSG FONCT	E		9.70		01/01/2024
262	CSG CRDS FONCTIONNAIRES TITULAIRES	CSG FONCT	E		8.00		01/01/1998
264	CSG CRDS TITULAIRES COLLECT.TERRIT	CSG COL T	E		9.70		01/01/2024
264	CSG CRDS TITULAIRES COLLECT.TERRIT	CSG COL T	E		9.70		01/01/2018
265	SERVICE CIVIQUE VOLONTARIAT AT/MP	S.CIVIQUE VOL AT	D			2.08	01/01/2026
265	SERVICE CIVIQUE VOLONTARIAT AT/MP	S.CIVIQUE VOL AT	D			2.12	01/01/2024
267	ICP AGRICOLE - CSG	ICP AGRICOLE-CSG	E		9.70		01/01/2018
268	CONTRIB ATTRIB ACTIONS GRATUITES 30%	ATTR ACTION GRATUIT	E		30.00		01/12/2017
269	CSG DES MILITAIRES	CSG MILITAIRES	E		9.20		01/01/2024
271	CRDS DES MILITAIRES	CRDS MILITAIRES	E		0.50		01/07/2001
274	CSG CRDS REG.SPECIAUX (PART.ACTIF)	CSG REG SPEC	E		9.70		01/01/2024
284	CSG CRDS ELUS LOCAUX	CSG ELUS	E		9.70		01/01/2024
284	CSG CRDS ELUS LOCAUX	CSG ELUS	E		9.70		01/01/2018
285	S.CIVIQUE VOLONTARIAT AV AF MAL	S.CIVIQUE VOL.VIEL	E	15.45	20.76		01/01/2026
285	S.CIVIQUE VOLONTARIAT AV AF MAL	S.CIVIQUE VOL.VIEL	E	15.45	20.67		01/01/2024
286	ARTISTES SALARIES NON RESIDENTS	ARTISTES	E		3.85		01/03/2018
288	VIEILLESSE TEMPS PARTIEL	TPS PARTI	E	15.45	2.51		01/01/2026
